"VCF0702","VCF0101","VCF0110","VCF0114","VCF0301","VCF0310","VCF0009z","vote","age","education","income","party_id","interest","weight"
2,30,2,4,2,2,1,1,30,"HighSchool",4,"WeakDem",2,1
1,68,1,1,3,1,1,0,68,"LessHS",1,"IndLeanDem",1,1
2,55,1,3,1,3,1,1,55,"LessHS",3,"StrongDem",3,1
2,65,1,3,1,3,1,1,65,"LessHS",3,"StrongDem",3,1
2,53,2,4,5,2,1,1,53,"HighSchool",4,"IndLeanRep",2,1
2,34,2,3,5,2,1,1,34,"HighSchool",3,"IndLeanRep",2,1
2,37,1,4,6,1,1,1,37,"LessHS",4,"WeakRep",1,1
2,52,1,3,7,3,1,1,52,"LessHS",3,"StrongRep",3,1
2,54,4,5,6,3,1,1,54,"CollegePlus",5,"WeakRep",3,1
2,50,2,3,2,2,1,1,50,"HighSchool",3,"WeakDem",2,1
2,48,1,1,7,3,1,1,48,"LessHS",1,"StrongRep",3,1
2,69,3,2,5,2,1,1,69,"SomeCollege",2,"IndLeanRep",2,1
2,43,3,4,4,3,1,1,43,"SomeCollege",4,"Independent",3,1
1,46,1,2,3,1,1,0,46,"LessHS",2,"IndLeanDem",1,1
2,27,4,4,5,2,1,1,27,"CollegePlus",4,"IndLeanRep",2,1
2,56,2,5,4,3,1,1,56,"HighSchool",5,"Independent",3,1
2,80,2,1,1,2,1,1,80,"HighSchool",1,"StrongDem",2,1
2,72,1,4,1,1,1,1,72,"LessHS",4,"StrongDem",1,1
1,29,2,3,2,1,1,0,29,"HighSchool",3,"WeakDem",1,1
2,43,1,3,7,2,1,1,43,"LessHS",3,"StrongRep",2,1
1,30,2,4,2,2,1,0,30,"HighSchool",4,"WeakDem",2,1
2,56,2,4,7,2,1,1,56,"HighSchool",4,"StrongRep",2,1
2,46,4,4,7,2,1,1,46,"CollegePlus",4,"StrongRep",2,1
1,52,2,4,5,3,1,0,52,"HighSchool",4,"IndLeanRep",3,1
1,66,1,1,1,1,1,0,66,"LessHS",1,"StrongDem",1,1
2,29,2,4,2,2,1,1,29,"HighSchool",4,"WeakDem",2,1
2,24,2,4,2,2,1,1,24,"HighSchool",4,"WeakDem",2,1
2,27,2,3,6,1,1,1,27,"HighSchool",3,"WeakRep",1,1
2,34,2,4,2,2,1,1,34,"HighSchool",4,"WeakDem",2,1
2,65,2,4,6,1,1,1,65,"HighSchool",4,"WeakRep",1,1
1,28,4,4,3,3,1,0,28,"CollegePlus",4,"IndLeanDem",3,1
2,42,3,4,7,2,1,1,42,"SomeCollege",4,"StrongRep",2,1
